iter	Logloss
0	0.6840516061
1	0.6764307921
2	0.668100783
3	0.6597691054
4	0.6497112546
5	0.641469091
6	0.6347024722
7	0.626263037
8	0.6175267559
9	0.6113333302
10	0.6051094989
11	0.5971632973
12	0.593390658
13	0.5863702644
14	0.580143263
15	0.5749110374
16	0.5688820739
17	0.5657980375
18	0.5602479198
19	0.555319067
20	0.5506085527
21	0.5464877099
22	0.5424186593
23	0.5367807129
24	0.5327438461
25	0.529078258
26	0.5269312119
27	0.5220911739
28	0.518494849
29	0.5151269715
30	0.511094283
31	0.5061133593
32	0.5043647091
33	0.5003787209
34	0.4979124716
35	0.4949601812
36	0.4925871772
37	0.489018932
38	0.4859255921
39	0.482625739
40	0.4797650295
41	0.4778075346
42	0.4756442378
43	0.4727808276
44	0.4706531936
45	0.4676164933
46	0.4666593152
47	0.4648961184
48	0.464007051
49	0.4614459044
50	0.4606187918
51	0.4593226608
52	0.4570768376
53	0.4558791969
54	0.4549462848
55	0.452734426
56	0.4520597368
57	0.4501533178
58	0.4481327378
59	0.4460385822
60	0.4444127364
61	0.4434661815
62	0.4416393858
63	0.439816203
64	0.4384578011
65	0.4375334457
66	0.4353852118
67	0.4347004352
68	0.4331001256
69	0.431802528
70	0.4307172077
71	0.4298797538
72	0.4286563814
73	0.4278518596
74	0.4266809062
75	0.4260453316
76	0.4248399449
77	0.4238936391
78	0.4235647527
79	0.4231210767
80	0.4221431542
81	0.4213145569
82	0.4204000388
83	0.4200452081
84	0.4189617116
85	0.4179627534
86	0.4166888327
87	0.4160196179
88	0.4154971467
89	0.4141678516
90	0.4132583741
91	0.4125463321
92	0.4119530544
93	0.4112212258
94	0.4101557946
95	0.4089865305
96	0.4081909389
97	0.407479197
98	0.4067576985
99	0.4061656026
100	0.4059914903
101	0.4057411714
102	0.4048023292
103	0.4043507899
104	0.4036008021
105	0.4026188647
106	0.4019713164
107	0.4010691106
108	0.4002289616
109	0.3995618279
110	0.3988846783
111	0.3984227061
112	0.3979550186
113	0.3971451681
114	0.3960992369
115	0.3956901184
116	0.3946213073
117	0.3943463236
118	0.3941718457
119	0.3938753561
120	0.3927741851
121	0.3925199981
122	0.392090498
123	0.391523459
124	0.3907361372
125	0.3902962657
126	0.3897144233
127	0.3896543565
128	0.3892899562
129	0.3889462475
130	0.3887150609
131	0.3885722629
132	0.3879435167
133	0.3878080639
134	0.3877461595
135	0.3873810976
136	0.3873070678
137	0.3869394427
138	0.3867772062
139	0.3864913116
140	0.3862397373
141	0.3860892717
142	0.3860150404
143	0.3857349652
144	0.3856153932
145	0.3850927148
146	0.3846126659
147	0.3844466457
148	0.3841420148
149	0.3836771997
150	0.3834064134
151	0.3832870386
152	0.3832674198
153	0.3830316292
154	0.3825820586
155	0.3821148662
156	0.3816568255
157	0.3813145992
158	0.3812043204
159	0.3809728132
160	0.3808232416
161	0.3805630758
162	0.3805111169
163	0.3801118606
164	0.3798199155
165	0.3795253492
166	0.3794559374
167	0.3793556351
168	0.3791008738
169	0.3788774252
170	0.3787193165
171	0.3781602058
172	0.3777647657
173	0.3775833522
174	0.3773316726
175	0.3772024014
176	0.376882956
177	0.3767827556
178	0.3767002853
179	0.3764561179
180	0.376305836
181	0.3760764585
182	0.3759102126
183	0.3756967768
184	0.3755394171
185	0.3754705575
186	0.3749305028
187	0.3747957351
188	0.3745633199
189	0.3745085848
190	0.3741368604
191	0.3740164993
192	0.3739746812
193	0.3738056079
194	0.3736041968
195	0.3734985997
196	0.3734427852
197	0.3733427715
198	0.3729720906
199	0.3727863665
200	0.37265466
201	0.372400305
202	0.3721026024
203	0.3718519026
204	0.3717840584
205	0.3713533542
206	0.3712615811
207	0.37111203
208	0.3709054787
209	0.370564496
210	0.3704905779
211	0.3704076441
212	0.3702247751
213	0.3700550512
214	0.3699942636
215	0.3697827888
216	0.3697674226
217	0.3696690213
218	0.3695963142
219	0.3695487395
220	0.3694667637
221	0.3692008228
222	0.3689904741
223	0.3686886367
224	0.368584801
225	0.3679853072
226	0.3677159687
